1,"Würdest du gern mal ein Gerät reparieren?",R
2,"Hast du Lust mit großen Maschinen zu arbeiten?",R
3,"Interessiert es dich, wie du einen Computer schneller machen kannst?",R
4,"Interessieren dich virtuelle Simulationen?",R
5,"Findest du es cool, eine Bewässerungsanlage für ein Feld zu entwerfen?",R
6,"Faszinieren dich elektrische Anlagen und Stromkreise?",R
7,"Interessiert es dich, an neuen Medikamenten für Krankheiten zu forschen?",I
8,"Löst du gerne Rätsel durch logisches Denken?",I
9,"Hast du Lust, menschliches Verhalten wissenschaftlich zu analysieren?",I
10,"Fragst du dich, warum Dinge auf den Boden fallen und nicht schweben?",I
11,"Interessieren dich chemische Reaktionen oder das Testen neuer Materialien?",I
12,"Hast du Lust, herauszufinden, wie ein Social Media Algorithmus funktioniert?",I
13,"Hast du ein Auge für gutes Design?",A
14,"Interessiert es dich, anderen Menschen zu beschreiben, wie man ein Gerät benutzt?",A
15,"Hättest du Lust, einen Gegenstand virtuell zu zeichnen oder nachzubilden?",A
16,"Interessiert dich das Thema Animation und Grafik?",A
17,"Möchtest du im musikalischen Bereich arbeiten?",A
18,"Interessiert dich die Arbeit mit Fotografie oder Video?",A
19,"Würdest du gerne andere unterrichten?",S
20,"Hast du Interesse daran, die persönliche Entwicklung anderer Menschen zu fördern?",S
21,"Interessiert es dich, einen Workshop oder Kurs zu leiten?",S
22,"Fällt es dir leicht, andere Menschen zu motivieren und zu unterstützen?",S
23,"Würdest du gerne ein Unternehmen beraten und dadurch verbessern?",S
24,"Interessiert es dich, für die Zufriedenheit der Mitarbeitenden in einem Unternehmen zu sorgen?",S
25,"Hältst du gerne Vorträge?",E
26,"Verhandelst du gerne?",E
27,"Interessieren dich Strategien, durch die man ein Produkt besser verkaufen kann?",E
28,"Überzeugst du gerne andere von deinen Ideen?",E
29,"Würdest du gern ein Budget planen und die Finanzen kontrollieren?",E
30,"Findest du es spannend, ein neues Produkt auf den Markt zu bringen?",E
31,"Magst du es, deine Woche zu strukturieren und genau zu planen?",C
32,"Findest du es spannend, Kunden und Kundinnen bei Problemen zu unterstützen?",C
33,"Interessiert es dich, Verantwortung dafür zu übernehmen, dass Gehälter richtig und termingerecht ausgezahlt werden?",C
34,"Interessiert es dich, ein Archiv oder eine Datenbank aufzubauen?",C
35,"Wärst du gerne dafür verantwortlich, dass Zahlen stimmen und alles im Hintergrund zuverlässig funktioniert?",C
36,"Gefällt dir der Gedanke, Prozesse so zu planen, dass alles effizient und strukturiert läuft?",C
