id;riasec_override_r;riasec_override_i;riasec_override_a;riasec_override_s;riasec_override_e;riasec_override_c
2;NULL;NULL;NULL;NULL;NULL;NULL
3;NULL;4;NULL;NULL;NULL;NULL
1;NULL;NULL;NULL;NULL;NULL;NULL
6;NULL;NULL;NULL;NULL;NULL;NULL
10;NULL;NULL;NULL;NULL;NULL;NULL
8;NULL;NULL;NULL;NULL;NULL;NULL
19;NULL;5;NULL;NULL;NULL;NULL
479;NULL;NULL;NULL;NULL;NULL;NULL
22;3;2;5;NULL;NULL;NULL
23;NULL;NULL;NULL;NULL;NULL;NULL
18;2;2;NULL;NULL;NULL;NULL
20;NULL;NULL;NULL;NULL;NULL;NULL
28;NULL;NULL;NULL;NULL;NULL;5
480;NULL;NULL;NULL;5;NULL;NULL
27;NULL;NULL;NULL;NULL;NULL;NULL
33;NULL;NULL;NULL;NULL;NULL;NULL
36;NULL;NULL;NULL;NULL;4;4
29;NULL;NULL;NULL;NULL;NULL;NULL
35;NULL;NULL;NULL;NULL;NULL;NULL
39;NULL;NULL;NULL;NULL;NULL;NULL
38;NULL;3;NULL;NULL;NULL;NULL
516;NULL;NULL;NULL;NULL;NULL;NULL
481;NULL;NULL;NULL;NULL;4;NULL
41;NULL;NULL;NULL;NULL;NULL;NULL
42;NULL;NULL;NULL;NULL;NULL;NULL
45;1;4;NULL;NULL;NULL;NULL
56;NULL;NULL;NULL;NULL;NULL;NULL
58;NULL;NULL;NULL;NULL;NULL;NULL
62;NULL;NULL;NULL;NULL;NULL;NULL
59;NULL;NULL;NULL;NULL;NULL;NULL
66;NULL;NULL;NULL;NULL;NULL;NULL
68;NULL;NULL;NULL;NULL;NULL;NULL
69;NULL;NULL;NULL;NULL;NULL;NULL
72;NULL;NULL;NULL;NULL;NULL;NULL
81;NULL;NULL;NULL;NULL;NULL;NULL
482;NULL;NULL;NULL;NULL;NULL;NULL
77;NULL;NULL;NULL;NULL;NULL;NULL
82;NULL;NULL;NULL;NULL;NULL;NULL
83;NULL;NULL;NULL;NULL;NULL;NULL
74;NULL;NULL;NULL;NULL;NULL;NULL
79;NULL;NULL;NULL;NULL;NULL;NULL
80;NULL;NULL;NULL;NULL;NULL;NULL
75;NULL;NULL;NULL;NULL;NULL;NULL
76;NULL;NULL;NULL;NULL;NULL;NULL
85;NULL;NULL;NULL;NULL;NULL;NULL
86;NULL;NULL;NULL;NULL;NULL;NULL
