id;riasec_r;riasec_i;riasec_a;riasec_s;riasec_e;riasec_c
255;1;3;1;5;1;1
1;5;3;1;1;1;1
8;5;2;1;1;3;1
302;1;5;1;2;1;1
403;2;4;1;1;2;1
398;1;3;1;5;3;2
17;1;3;1;5;2;2
237;1;5;1;1;1;2
204;3;5;1;1;1;2
214;2;5;1;1;1;2
96;5;4;2;1;2;2
263;3;3;1;2;1;3
282;2;4;1;2;1;5
399;1;3;1;5;4;2
42;5;2;1;3;2;1
242;3;5;1;1;1;3
66;5;4;1;1;4;4
71;5;3;4;1;2;1
87;3;3;1;1;2;4
316;1;3;4;4;3;1
406;1;3;1;1;2;5
40;1;4;1;3;1;2
26;1;4;1;2;3;2
29;1;5;1;5;2;2
193;3;5;1;1;1;2
320;1;4;1;2;1;1
120;2;3;1;3;2;3
126;3;4;1;2;1;2
351;1;4;1;3;1;1
134;3;4;1;1;1;3
250;2;5;1;1;1;3
325;1;4;5;2;2;1
132;3;4;1;1;1;3
179;1;2;5;3;1;1
84;4;4;1;1;1;3
173;1;2;5;4;1;1
156;1;1;5;3;3;1
405;1;1;5;5;2;1
396;1;3;1;5;3;2
102;4;4;1;1;2;2
270;2;3;1;4;1;3
288;1;5;1;2;1;1
69;4;4;1;1;2;3
146;5;1;5;1;2;1
400;3;4;1;1;2;3
165;4;1;5;1;2;1
74;4;5;1;1;2;3
91;3;4;1;1;2;2
217;2;4;1;1;1;3
380;1;5;1;1;5;1
145;2;4;1;1;5;1
397;1;2;1;5;1;1
395;1;2;1;2;2;5
59;4;3;1;1;2;3
402;1;5;1;1;1;2
176;1;3;4;4;1;1
226;2;4;1;1;1;4
348;1;4;2;1;2;1
369;1;4;3;2;1;2
279;1;3;1;2;1;2
357;1;3;1;2;1;2
293;1;3;1;2;1;3
37;1;2;1;5;1;2
109;2;2;1;1;3;4
248;2;5;1;2;1;3
56;3;2;4;1;2;1
401;1;2;1;4;2;4
108;4;3;1;1;1;2
104;3;4;1;1;1;2
94;3;5;1;1;2;3
